Comm,co2,treatment_o3,plot,year,fc_npp,fc_grow_repr,fc_leaf_litter,fc_grow_croot,fc_grow_wood,ptrait_lai,fc_froot_to_litter_1t2mm,fc_froot_to_litter_lt1mm,fc_grow_leaf,fc_grow_froot,ptrait_lai_peak,fc_grow_froot.1,ptrait_nconc_leaf,n_leaf,c_froot,c_croot,c_wood,c_leaf,fn_leaf_to_litter,ptrait_lma,ptrait_sla
AM,ELE,AMB,3,1999,       378.0,         0.0,        34.0,        68.0,       236.5,        0.83,         4.5,        21.3,        33.8,        39.7,        0.83,        39.7,        1.79,        2.12,19.6,95.6,281.8,59.9,          NA,          NA,          NA
AM,AMB,ELE,1,1999,        97.0,         0.0,        10.4,        15.9,        55.0,        0.22,         1.0,        10.8,        10.4,        15.7,        0.22,        15.7,        1.45,        0.56,6.9,27.5,78.3,18.7,          NA,          NA,          NA
AM,AMB,ELE,2,1999,       226.0,         0.0,        21.5,        31.8,       144.6,        0.52,         1.6,        18.1,        21.9,        27.7,        0.52,        27.7,        2.33,        1.82,11.5,45.9,178.9,39.3,          NA,          NA,          NA
AM,AMB,ELE,3,1999,       107.0,         0.0,        11.2,        17.5,        63.6,        0.25,         0.9,        10.1,        10.8,        15.1,        0.25,        15.1,        1.65,        0.68,6.4,27.7,85.3,20.5,          NA,          NA,          NA
AM,ELE,ELE,1,1999,       284.0,         0.0,        25.4,        44.9,       164.8,        0.57,         6.2,        29.3,        25.4,        48.9,        0.57,        48.9,        1.76,        1.62,20.6,66.4,206.8,44.7,          NA,          NA,          NA
AM,ELE,ELE,2,1999,       358.0,         0.0,        29.9,        54.3,       214.8,        0.78,         6.4,        35.5,        30.1,        58.8,        0.78,        58.8,        1.47,        1.58,23.5,75.4,257.7,53.6,          NA,          NA,          NA
AM,ELE,ELE,3,1999,       133.0,         0.0,        11.7,        24.7,        74.6,        0.25,         2.3,        12.9,        12.2,        21.5,        0.25,        21.5,        1.32,        0.54,8.6,33.1,86.6,20.4,          NA,          NA,          NA
A,AMB,AMB,1,2000,       287.2,         2.1,        53.8,        30.9,       156.7,        1.45,         8.2,        23.5,        60.1,        37.4,        1.45,        37.4,        1.88,        3.70,25.5,132.8,490.6,95.9,          NA,          NA,          NA
A,AMB,AMB,2,2000,       340.1,         1.0,        61.6,        36.5,       195.0,        1.85,         9.4,        27.1,        64.1,        43.5,        1.85,        43.5,        1.78,        4.05,29.4,147.9,579.6,115.3,          NA,          NA,          NA
A,AMB,AMB,3,2000,       306.3,         1.7,        62.2,        31.7,       165.2,        1.67,         9.1,        26.0,        66.9,        40.8,        1.67,        40.8,        1.89,        4.22,28.2,148.5,567.1,111.5,          NA,          NA,          NA
